velx	vely	velz	angx	angy	angz
0.006965316	-0.05107211	0.07093377	0.02601538	-0.03703954	0.2692247
0.01763262	-0.03276052	0.03132226	-0.0744781	0.1986063	0.8343804
0.02305596	-0.02170387	0.02556108	-0.1250257	0.313976	1.118016
0.02305596	-0.02170387	0.02556108	-0.1250257	0.313976	1.118016
0.02305596	-0.02170387	0.02556108	-0.1250257	0.313976	1.118016
0.02305596	-0.02170387	0.02556108	-0.1250257	0.313976	1.118016
0.02305596	-0.02170387	0.02556108	-0.1250257	0.313976	1.118016
0.02305596	-0.02170387	0.02556108	-0.1250257	0.313976	1.118016
0.02305596	-0.02170387	0.02556108	-0.1250257	0.313976	1.118016
0.03137393	-0.006084109	0.0189095	-0.2592356	0.4380487	1.664613
0.03075505	0.02679493	0.002639508	-0.5325443	0.5145196	2.263284
0.03057048	0.04766717	-0.0005085076	-0.685729	0.5114696	2.365193
0.02254635	0.06894283	0.01743307	-0.8560108	0.3903396	2.113382
0.009609374	0.07507093	0.03510424	-0.8787537	0.2387882	1.875064
-0.01080041	0.07069112	0.04440176	-0.7686986	0.02376778	1.448931
-0.008401095	0.05302288	0.05445321	-0.5604892	-0.02257084	0.9229745
0.01749724	0.01625783	0.07325476	-0.2234786	0.07028112	0.02594951
0.03215795	-0.008933903	0.07897311	0.005520505	0.1380766	-0.3444812
0.04538066	-0.0510596	0.08881226	0.2931059	0.1562604	-0.5379562
0.02902484	-0.07496591	0.1073222	0.4115255	0.007700511	-0.5153757
0.01550093	-0.08141156	0.1206499	0.4078624	-0.1229324	-0.4897383
0.0002420737	-0.0860184	0.1373141	0.3426887	-0.2803635	-0.4742655
-0.002972022	-0.0905209	0.1533221	0.3246445	-0.3532248	-0.4576766
0.01439792	-0.09868104	0.1709905	0.3412281	-0.2621185	-0.5796979
0.03358043	-0.1058572	0.1809113	0.3571236	-0.125259	-0.6639004
0.0594557	-0.1093402	0.1973235	0.3435737	0.04139103	-0.5645184
0.06806253	-0.1110659	0.2259866	0.3329128	0.1034766	-0.3945183
0.06477593	-0.1162635	0.2564899	0.3604426	0.02189819	-0.2968859
0.06326284	-0.12781	0.3029875	0.4811803	-0.108713	-0.6191207
0.06444982	-0.1446722	0.34785	0.6679371	-0.1782055	-0.9364554
0.06296665	-0.1535357	0.3817139	0.7952673	-0.2102825	-1.093514
0.07047314	-0.164691	0.4175949	0.9433485	-0.1757002	-1.226407
0.08189832	-0.1692948	0.4547192	1.061778	-0.110348	-1.361489
0.1161613	-0.1620709	0.5419796	1.151881	0.08488599	-1.700546
0.12869	-0.1380448	0.6242918	1.077595	0.1345539	-1.62294
0.1359763	-0.1130293	0.6898827	0.9605559	0.1585408	-1.407459
0.1415332	-0.06152769	0.7986492	0.693851	0.1858555	-1.060696
0.1455325	-0.02177155	0.8762801	0.533342	0.1887458	-0.8275948
0.1368221	0.04876712	1.051895	0.2868599	0.1427107	-0.5602987
0.1319253	0.0785199	1.143125	0.2326052	0.1036353	-0.5570349
0.128006	0.1237477	1.283692	0.1797063	0.02789485	-0.6903846
0.1155639	0.1728957	1.428239	0.1008998	-0.07990876	-0.8575944
0.09970076	0.2283616	1.578579	-0.009024834	-0.2010978	-0.8677448
0.08245835	0.2940465	1.723014	-0.1875864	-0.3124957	-0.7615241
0.07089154	0.3350094	1.814768	-0.3130175	-0.3393897	-0.6069547
0.06348874	0.3968977	1.955419	-0.5064211	-0.3035921	-0.3377146
0.06745162	0.4570661	2.093511	-0.6734231	-0.215902	-0.2362159
0.06490557	0.4843922	2.186229	-0.7084955	-0.1588492	-0.2226706
0.0595676	0.5146004	2.3249	-0.7168639	-0.08429551	-0.1212818
0.05033644	0.5377252	2.453207	-0.6888527	-0.01751272	0.03278951
0.04907163	0.5535474	2.56827	-0.6631817	0.1628324	0.2765115
0.04442472	0.5683833	2.673916	-0.6874022	0.2696422	0.4094203
0.03795774	0.5745658	2.73807	-0.7024516	0.3150167	0.3789631
0.0008294578	0.5813259	2.814763	-0.7877515	0.1915586	0.8028062
-0.02842429	0.5735755	2.882765	-0.973403	0.0353041	1.377468
-0.05253939	0.5526819	2.918337	-1.148555	-0.2004941	1.932952
-0.0775931	0.4984774	2.910084	-1.285983	-0.612785	2.158845
-0.06114885	0.3818269	2.834477	-1.173475	-0.9880164	2.160638
0.009030044	0.2647279	2.738585	-0.9010493	-0.9784725	2.238453
0.1236071	0.01811293	2.517501	-0.05263178	-0.8283288	2.719804
0.3716782	-0.2574643	2.175887	1.498039	0.1591623	1.943269
0.5970002	-0.5211245	1.760966	3.660545	1.305741	1.061722
0.7258824	-0.6321368	1.448836	5.099524	2.367375	0.1493392
0.8735368	-0.638154	1.019741	6.244893	4.390756	-1.458616
0.6113449	-0.1435773	0.6900843	3.941385	4.187761	-2.358182
0.449157	0.03691553	0.6602345	2.752201	3.201899	-1.99744
-0.2601131	0.8199046	0.6864879	-2.67471	-1.736009	0.6508248
-0.5410265	1.166834	0.6116565	-4.859312	-3.750919	1.961456
-0.5981244	1.198198	0.515259	-5.058063	-3.955047	1.813024
-0.5859054	1.08303	0.4340354	-3.815254	-3.495732	0.6329891
-0.3606125	0.7099717	0.327745	-1.488423	-2.160208	-1.705141
-0.2214323	0.5117667	0.302044	-0.7072716	-1.537524	-2.083813
-0.06838912	0.3019842	0.2928872	-0.1268201	-0.685509	-1.53132
0.2273778	-0.04915691	0.2072035	0.7478604	1.104587	-0.4031908
