velx	vely	velz	angx	angy	angz
-0.09549617	0.02648792	-0.02039748	-0.096751	0.04999749	0.7584157
-0.1454012	0.05888372	-0.01516123	0.09473475	0.2002341	1.017474
-0.1498652	0.06446142	-0.02036789	0.2406977	0.2833444	1.042015
-0.1498652	0.06446142	-0.02036789	0.2406977	0.2833444	1.042015
-0.1498652	0.06446142	-0.02036789	0.2406977	0.2833444	1.042015
-0.1498652	0.06446142	-0.02036789	0.2406977	0.2833444	1.042015
-0.1498652	0.06446142	-0.02036789	0.2406977	0.2833444	1.042015
-0.1498652	0.06446142	-0.02036789	0.2406977	0.2833444	1.042015
-0.1138211	0.07190409	0.00384646	0.5737059	0.1412146	1.006507
-0.1236083	0.07036684	0.05408707	0.7111611	-0.1421544	0.9626982
-0.08582684	0.03510334	0.118175	1.119859	-0.4298346	0.4720907
-0.06204943	-0.02329889	0.1839329	1.299365	-0.6790714	-0.1352389
-0.04457509	-0.06211205	0.195645	1.290039	-0.7098283	-0.465845
-0.03062721	-0.09607071	0.1883635	1.095366	-0.6252285	-0.675818
-0.02451656	-0.1023951	0.1523928	0.629007	-0.3798734	-0.6460752
-0.020744	-0.1040608	0.09903565	0.1424868	-0.05120736	-0.5544975
-0.01958532	-0.1029956	0.06779063	-0.1131453	0.1799643	-0.5491714
-0.01887131	-0.1108579	0.02223217	-0.5031189	0.4674716	-0.6217383
-0.01880287	-0.1233198	0.01543557	-0.737961	0.5893943	-0.6892728
-0.01585885	-0.1242656	0.04065128	-0.8390762	0.5419701	-0.6702485
-0.01336046	-0.1189383	0.08537614	-0.842569	0.406572	-0.5938218
-0.01461796	-0.1142075	0.1409729	-0.8359444	0.2694881	-0.5538185
-0.01497355	-0.1157426	0.1802059	-0.8553737	0.1726345	-0.5509201
-0.01854955	-0.1170393	0.2470257	-0.7829445	0.04132836	-0.5601144
-0.02215939	-0.1117475	0.3097894	-0.6650687	-0.05362831	-0.5166553
-0.02519969	-0.1039266	0.3507231	-0.6317108	-0.1035995	-0.4607869
-0.02996187	-0.09047238	0.4171121	-0.6075892	-0.2135243	-0.3348262
-0.03671113	-0.07403253	0.4915988	-0.5003441	-0.355297	-0.1882998
-0.03800818	-0.05984518	0.568412	-0.3297264	-0.4788135	-0.1005528
-0.043705	-0.05709224	0.6433589	-0.3001652	-0.5759125	-0.08324081
-0.0483139	-0.0596347	0.6931021	-0.361796	-0.6353863	-0.08437248
-0.05628858	-0.06436905	0.7715644	-0.3508299	-0.7243578	-0.105215
-0.06691259	-0.06772832	0.8473387	-0.28052	-0.7937801	-0.1170341
-0.0801147	-0.07528864	0.9230706	-0.2620745	-0.8228686	-0.1590053
-0.08990098	-0.07992534	0.972779	-0.3291559	-0.8304536	-0.1856241
-0.1143879	-0.08874418	1.082555	-0.4480999	-0.9440443	-0.1967133
-0.1322529	-0.09299688	1.148468	-0.4605409	-1.054878	-0.1922342
-0.161883	-0.09737728	1.256874	-0.4431171	-1.253844	-0.1699726
-0.1975912	-0.09941494	1.367744	-0.3556955	-1.438757	-0.1489415
-0.2232946	-0.1050834	1.442075	-0.2787627	-1.553461	-0.1686898
-0.2627369	-0.1109318	1.550611	-0.2289947	-1.697565	-0.2285109
-0.3235705	-0.1158733	1.689248	-0.2779325	-1.878457	-0.3002055
-0.3585134	-0.1135443	1.756107	-0.3332447	-1.953402	-0.3266344
-0.4153017	-0.09576546	1.851274	-0.4847486	-2.030474	-0.3349396
-0.4862732	-0.06884345	1.941096	-0.632319	-2.10487	-0.2810699
-0.5421204	-0.04856625	2.004246	-0.6740378	-2.181107	-0.2229013
-0.6661532	-0.0003708301	2.136954	-0.613884	-2.427026	-0.0674144
-0.7350164	0.02312891	2.205428	-0.5802025	-2.575925	0.0009079133
-0.8511025	0.0543591	2.306685	-0.5067402	-2.846486	0.07291427
-0.9709009	0.08085445	2.402756	-0.4050857	-3.13137	0.1116114
-1.100594	0.1008563	2.485339	-0.2867408	-3.381326	0.1090917
-1.192933	0.1154134	2.527764	-0.2434397	-3.514789	0.1268134
-1.341635	0.1410611	2.576452	-0.198431	-3.681624	0.2144611
-1.446941	0.1639228	2.597353	-0.170506	-3.779665	0.3213827
-1.666117	0.1987816	2.619309	-0.1817781	-3.967396	0.4683965
-1.779959	0.2116074	2.61958	-0.2251381	-4.059025	0.486162
-1.958234	0.2178803	2.605846	-0.2816151	-4.225119	0.4540187
-2.143172	0.2140641	2.584528	-0.2327359	-4.409555	0.4150762
-2.271075	0.2047832	2.561104	-0.1758709	-4.515396	0.4018521
-2.523402	0.1875466	2.476792	-0.03126489	-4.702734	0.44128
-2.654523	0.1790446	2.418161	0.0430243	-4.808177	0.4853626
-2.85485	0.1613656	2.311502	0.08757729	-4.9741	0.5284962
-3.045546	0.1487112	2.181953	0.08608383	-5.170215	0.5414968
-3.16645	0.1376837	2.084132	0.06042034	-5.28949	0.5033531
-3.339332	0.1138823	1.925118	0.06081335	-5.400392	0.4632856
-3.488412	0.08892571	1.745228	0.05998891	-5.442561	0.3753633
-3.627148	0.06060772	1.550674	0.1181559	-5.47055	0.3008054
-3.753394	0.0300171	1.344038	0.1921445	-5.527412	0.2939197
-3.835614	0.01420846	1.197032	0.2195019	-5.59004	0.3451782
-3.941148	-0.004820593	0.9556844	0.1901242	-5.715799	0.4396103
-4.057479	-0.02953071	0.6096417	0.1372858	-5.862981	0.4882034
-4.10555	-0.04609939	0.4305029	0.1560684	-5.921302	0.5088477
-4.158928	-0.07595502	0.1549241	0.2006563	-5.98524	0.5350072
-4.180378	-0.09409352	-0.03462135	0.2106598	-5.998389	0.553221
-4.192819	-0.1149012	-0.323962	0.1815911	-6.02798	0.599174
-4.192818	-0.1303173	-0.6242633	0.1332625	-6.077888	0.661653
-4.169484	-0.1430066	-0.9293258	0.0731959	-6.173786	0.6343529
-4.127069	-0.154858	-1.248034	0.006074474	-6.280959	0.5618582
-4.083057	-0.1624549	-1.464783	-0.02917712	-6.366862	0.4987718
-3.956059	-0.1808007	-1.909326	-0.0647416	-6.593794	0.4235721
-3.876541	-0.1994811	-2.130669	-0.06516241	-6.69032	0.4327855
-3.736912	-0.2309523	-2.452387	-0.08384133	-6.812612	0.5728337
-3.560115	-0.2596109	-2.757501	-0.1059803	-6.936649	0.7328827
-3.352552	-0.2857007	-3.048378	-0.1383043	-7.097263	0.8750688
-3.114344	-0.2962666	-3.320501	-0.2919202	-7.357829	0.9937637
-2.842299	-0.2885796	-3.573883	-0.5221744	-7.621815	0.9868832
-2.640003	-0.2678303	-3.710085	-0.5777597	-7.735385	0.8316271
-2.31099	-0.2347068	-3.858877	-0.2944668	-7.715178	0.4207086
-2.074611	-0.2103562	-3.904019	0.2610941	-7.576042	0.07902301
-1.727371	-0.1884341	-3.91503	1.260183	-7.30225	-0.2735325
-1.39084	-0.1708805	-3.871723	1.665836	-6.92304	-0.3359028
-1.08009	-0.1620868	-3.77479	1.485551	-6.462244	-0.2057711
-0.8959144	-0.1575331	-3.687958	1.29511	-6.160571	-0.08568154
-0.6335999	-0.1566416	-3.518862	1.138919	-5.62215	0.06057228
-0.4159865	-0.1569903	-3.316655	1.00932	-5.057997	0.199766
-0.2926372	-0.1497746	-3.171287	0.979794	-4.69463	0.2415134
-0.09622363	-0.1275205	-2.848836	0.9869715	-4.017794	0.2750275
0.01978704	-0.1113588	-2.610737	0.9255921	-3.586837	0.306073
0.08027942	-0.101657	-2.453306	0.8540373	-3.376302	0.3074691
0.1525334	-0.08433573	-2.227904	0.6778012	-3.134113	0.247756
0.2023851	-0.06824112	-1.997689	0.5057137	-2.875159	0.1744631
0.2288076	-0.0672741	-1.769201	0.2138288	-2.596178	0.1080093
0.2362586	-0.06831079	-1.548649	-0.1063744	-2.304264	0.04561128
0.2367831	-0.07602986	-1.404131	-0.2910725	-2.108227	0.01363029
