velx	vely	velz	angx	angy	angz
-0.05624457	-0.0198481	0.0765338	0.8592407	0.6261153	0.1374936
0.05210264	-0.08465962	0.0612311	0.5744513	0.3477253	-0.7220349
0.05210264	-0.08465962	0.0612311	0.5744513	0.3477253	-0.7220349
0.05210264	-0.08465962	0.0612311	0.5744513	0.3477253	-0.7220349
0.05210264	-0.08465962	0.0612311	0.5744513	0.3477253	-0.7220349
0.05210264	-0.08465962	0.0612311	0.5744513	0.3477253	-0.7220349
0.05210264	-0.08465962	0.0612311	0.5744513	0.3477253	-0.7220349
0.05210264	-0.08465962	0.0612311	0.5744513	0.3477253	-0.7220349
0.07419436	-0.09033966	0.0648267	0.5327406	0.1835093	-0.9201144
0.1172602	-0.1183318	0.04266899	0.01759059	-0.4500577	-1.333755
0.1115557	-0.1107903	-0.01447472	-0.3432324	-0.05344019	-1.194069
0.08375394	-0.0940866	-0.04718117	-0.4137436	0.3481004	-0.8970121
0.03020009	-0.06009675	-0.0934845	-0.3944392	0.8637526	-0.3414022
0.002285518	-0.04127631	-0.09793234	-0.4199893	0.7223929	-0.08239418
-0.01368122	-0.03247111	-0.08769754	-0.3056259	0.4623879	0.01265288
-0.01128104	-0.03548323	-0.06439669	0.01227199	0.4519891	-0.1015346
-0.004262248	-0.03591002	-0.04139848	0.30518	0.483503	-0.1794676
-0.02131505	-0.03300587	-0.02831499	0.3976205	0.3708642	-0.1032779
-0.04999821	-0.02872212	-0.01179529	0.2508497	0.01502027	0.05430153
-0.08017851	-0.02250922	-0.02184526	-0.1161314	-0.4331741	0.2040093
-0.09961389	-0.0202895	-0.03621906	-0.3137465	-0.528979	0.2910261
-0.1326485	-0.01490057	-0.05872414	-0.4932192	-0.5195258	0.4314419
-0.159222	-0.01505841	-0.06710357	-0.4194108	-0.2666528	0.4933566
-0.176121	-0.01755727	-0.06538191	-0.2643822	-0.03190634	0.4902862
-0.2142226	-0.02873056	-0.04662507	-0.01866775	0.09988084	0.522007
-0.2504831	-0.03297708	-0.0292111	0.007040054	-0.1307711	0.6782771
-0.2849995	-0.03800883	-0.02126812	-0.01039546	-0.2983344	0.8064654
-0.3454454	-0.0450591	-0.01151529	-0.06114491	-0.5008635	1.021774
-0.3923074	-0.05006665	-0.01144609	-0.1390058	-0.6514477	1.208081
-0.4700384	-0.06388293	-0.01687615	-0.2244242	-0.7126976	1.456935
-0.5415671	-0.09357883	-0.02131472	-0.1637803	-0.4303344	1.532411
-0.6103399	-0.1324869	-0.0189894	-0.04162202	-0.1330233	1.575082
-0.665721	-0.1617751	-0.01422143	0.01411964	-0.05557801	1.656814
-0.8028566	-0.224916	-0.007163978	0.008361848	-0.0990499	2.006844
-0.9165882	-0.2812985	-0.009141251	-0.09524739	-0.1794737	2.345366
