velx	vely	velz	angx	angy	angz
-0.01616667	-0.01624585	0.0008299529	-0.2282213	0.6493264	0.1474714
-0.01335723	-0.02612162	-0.005305524	-0.1693865	0.817441	0.1071892
-0.01335723	-0.02612162	-0.005305524	-0.1693865	0.817441	0.1071892
-0.01335723	-0.02612162	-0.005305524	-0.1693865	0.817441	0.1071892
-0.01335723	-0.02612162	-0.005305524	-0.1693865	0.817441	0.1071892
-0.01335723	-0.02612162	-0.005305524	-0.1693865	0.817441	0.1071892
-0.01335723	-0.02612162	-0.005305524	-0.1693865	0.817441	0.1071892
-0.01104548	-0.02351519	-0.005555502	-0.1799884	1.114983	0.07033561
0.01039133	-0.01359462	0.02009676	0.03425371	0.9517288	-0.143569
0.0031109	-0.003000199	0.05155696	0.297181	0.5377218	-0.0734589
-0.01015582	-0.004576879	0.05698826	0.3652247	0.4335741	0.0008256522
-0.04231347	-0.01300468	0.07935435	0.51703	0.3370684	0.2912663
-0.06894717	-0.01757796	0.06119063	0.3713769	0.1046007	0.4916571
-0.07484478	-0.01525859	0.04558036	0.2500207	0.04637888	0.5183821
-0.07512321	-0.008747361	-0.04784849	-0.4144708	-0.07639687	0.462799
-0.07527054	-0.005579739	-0.08416467	-0.6412399	0.1397097	0.4968195
-0.08098657	0.0007017402	-0.09835544	-0.6975927	0.5534219	0.5781633
-0.06930009	0.009381779	-0.1014146	-0.5966433	0.5222256	0.4486277
-0.03898558	0.02261862	-0.1081012	-0.4558646	0.1067527	0.1143866
-0.02214561	0.03120765	-0.1082408	-0.3347012	-0.2505579	-0.0728325
-0.008241029	0.04161353	-0.09421328	-0.09607043	-0.7008198	-0.2222197
-0.01129504	0.04786928	-0.06774079	0.08912258	-0.8605935	-0.2105713
-0.01471157	0.05055763	-0.05858197	0.05938723	-0.6919299	-0.1629259
-0.01361718	0.05387405	-0.06315344	-0.07409459	-0.4595287	-0.1734734
-0.000851578	0.05558532	-0.06811792	-0.2891228	-0.06626275	-0.2368857
0.01465114	0.04962682	-0.0504755	-0.3031338	0.1039155	-0.3160789
0.03033715	0.04119858	-0.005448303	-0.07552174	0.05159374	-0.4086722
0.03712028	0.02826738	0.03851534	0.1737559	-0.08826794	-0.4537463
0.04413999	0.0004004467	0.1156778	0.5850753	-0.377708	-0.4959743
0.0527785	-0.03835804	0.1995394	0.9663566	-0.6359869	-0.507192
0.06486462	-0.09255557	0.2866592	1.24621	-0.6912186	-0.5343053
0.08900284	-0.1646811	0.3706497	1.409344	-0.5908335	-0.6067445
0.1188933	-0.2546361	0.4716812	1.573939	-0.4889405	-0.7091867
0.1532969	-0.3751886	0.604483	1.866233	-0.4010765	-0.8198623
0.172369	-0.4790768	0.7184145	2.177851	-0.5409511	-0.8880969
0.1976386	-0.6819973	0.9355976	2.846946	-0.8470781	-0.9841898
0.2177573	-0.9798868	1.225896	3.894984	-1.033437	-1.068193
0.2282069	-1.380519	1.587484	5.607465	-0.6565617	-1.017615
0.2345872	-1.72551	1.848345	7.072455	-0.4221618	-1.016871
0.2452903	-2.331173	2.195212	9.574921	-0.2976358	-1.232578
0.2482258	-2.798066	2.324745	11.21798	-0.3470446	-1.418325
0.2174055	-3.523415	2.329671	13.22019	-0.3923091	-1.286896
0.08736476	-4.217806	2.044904	14.41759	-0.5226254	-0.3043
-0.01163321	-4.72881	1.504561	14.62077	-0.7239923	1.153884
-0.0903468	-5.016593	0.8322951	14.14697	-1.210073	2.538841
-0.08521874	-5.082152	0.1105546	13.40366	-1.74671	3.199774
-0.0320071	-4.994308	-0.3014603	12.70685	-1.872871	2.806477
0.1965332	-4.561506	-0.9672355	11.18983	-1.013409	0.4514846
0.2934045	-4.306311	-1.182317	10.13942	-0.1625929	-0.3759674
0.392453	-3.869194	-1.38937	8.194087	0.8184704	-0.2038337
0.4228145	-3.439535	-1.478412	6.426843	0.8677881	1.09514
0.4102611	-3.052681	-1.537506	5.422461	0.4848738	1.934533
0.3565267	-2.827274	-1.55369	4.975811	0.3522025	1.822117
0.2525084	-2.515864	-1.55096	4.412369	0.2060333	0.9323191
0.1245143	-2.160394	-1.542711	4.095842	0.5926883	-0.8291047
0.08039089	-2.004994	-1.544676	4.067711	0.8040219	-1.364473
0.04809918	-1.808191	-1.516835	3.95918	0.9529437	-1.555995
0.04537367	-1.598414	-1.482244	3.602039	0.6352357	-1.053878
0.06633979	-1.473681	-1.438692	3.297174	0.3165193	-0.5282508
0.1015316	-1.299974	-1.343345	2.849946	0.1848232	0.1251707
0.1402998	-1.14156	-1.249677	2.549167	0.2826098	0.4490146
0.1592265	-1.003645	-1.152565	2.27668	0.6171283	0.2884867
0.1360399	-0.8556387	-1.038183	1.634441	0.2415797	0.3777004
0.09369898	-0.7098189	-0.9014592	1.528971	0.3739098	0.005218053
0.06398597	-0.6573913	-0.8875654	2.084879	0.8833725	-0.5027041
0.03555622	-0.6041981	-0.8442476	2.009924	0.5741569	-0.5727848
-0.001150104	-0.5122689	-0.7673123	1.666454	0.1046568	-0.5357785
0.02518301	-0.4346843	-0.6601925	1.327901	0.3194619	-0.4326909
0.06467799	-0.3900321	-0.592846	1.132867	0.5615207	-0.2480067
0.09877822	-0.3315083	-0.4941084	0.7320368	0.4796113	0.09973786
