velx	vely	velz	angx	angy	angz
-0.01868688	-0.00579681	-0.02876781	-0.3845089	-0.5845441	0.07480171
-0.03144752	0.0005444507	-0.04134821	-0.6093463	-0.6765057	0.1780732
-0.03144752	0.0005444507	-0.04134821	-0.6093463	-0.6765057	0.1780732
-0.03144752	0.0005444507	-0.04134821	-0.6093463	-0.6765057	0.1780732
-0.03144752	0.0005444507	-0.04134821	-0.6093463	-0.6765057	0.1780732
-0.03144752	0.0005444507	-0.04134821	-0.6093463	-0.6765057	0.1780732
-0.03144752	0.0005444507	-0.04134821	-0.6093463	-0.6765057	0.1780732
-0.03144752	0.0005444507	-0.04134821	-0.6093463	-0.6765057	0.1780732
-0.03587346	-0.009812007	-0.02963202	-0.3936844	-0.7263172	0.1881777
-0.08513544	-0.0010707	-0.0363992	-0.4751428	-1.025293	0.579046
-0.1308239	0.007921052	-0.04684656	-0.5678884	-0.6489776	1.080915
-0.1612481	0.0149184	-0.04508358	-0.6071848	0.232616	1.446422
-0.1512716	0.01173521	-0.06041924	-0.6535972	0.7847341	1.347642
-0.1302834	0.01986047	-0.05491534	-0.6341181	0.7817985	1.064754
-0.09542113	0.02901265	-0.03389909	-0.4657781	0.3923653	0.5037889
-0.05648595	0.03174937	-0.007532328	-0.2542752	0.09510584	0.002747861
-0.02287829	0.02296345	0.004467192	-0.1493081	0.01494357	-0.2402873
-0.0007955555	0.02204179	0.02801299	-0.03315124	-0.04193591	-0.4182841
0.003706277	0.02098356	0.05110619	0.0372184	-0.1018912	-0.3899124
-0.005987705	0.02059785	0.06444755	0.06901763	-0.09937748	-0.210536
-0.01595958	0.008247864	0.06534097	0.05075909	-0.02381448	0.01938989
-0.02769588	0.00811972	0.05825722	0.01883188	0.02192657	0.131331
-0.02823188	0.001578799	0.05076893	-0.04972069	0.006254682	0.1644509
-0.02291745	0.003347154	0.05231787	-0.07878638	-0.03206918	0.1053998
-0.00842131	0.0008861119	0.04283556	-0.08578579	-0.08949088	-0.01216119
-0.003175183	0.003918426	0.0508108	-0.007810614	-0.09051632	-0.1035203
-0.0004363931	0.004278237	0.06285708	0.07194789	-0.06207779	-0.1372578
0.00993213	-0.001340939	0.06542872	0.1582515	-0.04970108	-0.1716937
0.006575208	0.001711857	0.06702027	0.1534522	-0.05883732	-0.1735452
0.004143931	0.002865041	0.07090059	0.1354806	-0.04654432	-0.1543271
0.002630971	-0.002366218	0.06040189	0.1127909	-0.05097622	-0.09155633
-0.01025111	-0.0002426676	0.06197395	0.1200867	-0.07949803	-0.01240039
-0.01574757	0.001783218	0.06352644	0.1025413	-0.08642691	0.03389239
-0.0155666	0.000996644	0.05014458	0.0483606	-0.07780992	0.06553224
-0.01946258	0.005717837	0.04388403	-0.005757193	-0.03482186	0.06866352
-0.01731138	0.01160623	0.04464202	-0.02212613	-0.01412763	0.0554057
-0.01804856	0.01618648	0.04230796	-2.312214E-05	-0.03348704	0.03529583
-0.01328957	0.009196551	0.03546417	0.01182721	-0.06214112	0.02143373
-0.01151646	0.01324475	0.04076027	0.006253295	-0.06328939	0.005660736
-0.006262127	0.00825616	0.03211674	0.01290303	-0.06167363	0.0005079979
-0.01007129	0.01112426	0.03690629	0.03513039	-0.06638005	0.01277825
-0.01286347	0.01409566	0.03691033	0.03398067	-0.05635763	0.03023528
-0.01207672	0.01606862	0.03806532	0.007639947	-0.02186205	0.03409188
-0.006260601	0.01331975	0.02997639	-0.0487949	0.005943378	0.01901566
-0.003920598	0.01648215	0.03292105	-0.07374955	0.007353022	-0.01088491
0.00232547	0.01153438	0.02742223	-0.05888406	-0.01883868	-0.02029303
-0.004163044	0.01278465	0.02670666	-0.03872952	-0.03330229	-0.01940358
-0.006358007	0.01430539	0.03659377	-0.01437109	-0.05689669	-0.01088596
-0.01106823	0.0169459	0.03687201	0.00937336	-0.07755815	-0.006144461
-0.008542079	0.01000834	0.03872611	0.03552615	-0.0834481	0.005310449
-0.01031436	0.01113448	0.04462403	0.05092938	-0.07026077	0.0176532
-0.005211242	0.006934612	0.04058035	0.02949536	-0.01702374	0.03612002
-0.007900015	0.008756096	0.03833891	0.006891726	-0.009827546	0.02758735
-0.007029815	0.01195669	0.0413028	-0.01116393	0.005054162	0.01118903
-0.007356089	0.01445583	0.03578687	-0.01179576	-0.0004086415	-0.00616713
-0.004196615	0.01247922	0.03469927	0.006627933	-0.03450232	-0.033953
-0.004893297	0.01451308	0.03986909	0.0203086	-0.05052535	-0.03339975
-0.002106467	0.008664018	0.03286405	0.0367366	-0.05035305	-0.01608825
-0.007002159	0.01071491	0.03711242	0.04768564	-0.03191772	0.009973656
-0.009556483	0.01323798	0.03774353	0.04799322	-0.01679423	0.02272685
-0.001296928	0.00898181	0.03645533	0.01999457	-0.005863851	0.0133122
-0.003902463	0.01061475	0.03245371	-0.008822145	-0.001655622	-0.0004294704
-0.001284185	0.01355179	0.03280153	-0.04708154	0.00119814	-0.02725035
0.006072471	0.008827686	0.02697482	-0.05245414	-0.01897653	-0.05125207
0.002285182	0.01081757	0.025789	-0.04839943	-0.05099561	-0.06777351
0.001494002	0.01122704	0.02964552	-0.0513013	-0.07088872	-0.07656916
0.004437306	0.006836691	0.02002844	-0.05368775	-0.07410006	-0.07578751
0.0002080148	0.008680942	0.02034692	-0.06169426	-0.07573997	-0.06408426
-0.002207658	0.01154749	0.0249549	-0.05646804	-0.05688935	-0.02617908
-0.0003974011	0.006164033	0.0205003	-0.0515693	-0.03127009	0.01726746
-0.005787652	0.005817151	0.02123945	-0.04770714	-0.0158932	0.032716
-0.005721984	0.005338945	0.02738168	-0.05604903	0.001364989	0.02955452
-0.005604533	0.004863217	0.02965198	-0.04345525	0.01035379	0.01751816
2.236314E-05	-0.004625823	0.02852074	-0.02786249	0.0239865	0.002475154
-0.003647064	-0.009227802	0.0293172	-0.005130208	-0.006340171	-0.01156021
0.001351205	-0.01803445	0.03254042	0.01823742	-0.03025566	-0.007271463
-0.002809706	-0.02346638	0.04119784	0.05644816	-0.04740743	0.00843363
-0.007391117	-0.02965921	0.04713583	0.09250326	-0.030779	0.03731249
-0.001642321	-0.04080225	0.05244883	0.09936004	0.01748655	0.04314087
-0.001781082	-0.04708246	0.05602714	0.09822962	0.04884822	0.01975562
0.000405918	-0.0512771	0.05963414	0.09822787	0.05247309	-0.01115977
0.003347929	-0.05657704	0.05614342	0.0698068	0.0220864	-0.066765
0.006243848	-0.06826759	0.04982328	0.0454889	-0.00170755	-0.09543487
-0.001115061	-0.07835203	0.04749025	0.04507162	-0.03083085	-0.08343918
0.001025581	-0.0907537	0.04983392	0.04807939	-0.03795694	-0.05248446
-0.009698717	-0.1028796	0.05596126	0.0680384	-0.01251236	0.01985319
-0.01665336	-0.1165142	0.0629186	0.09039963	0.0319085	0.08905481
-0.01425098	-0.1385303	0.07004754	0.09557894	0.04989101	0.1125445
-0.01343379	-0.1580508	0.07260722	0.04800187	-0.007921807	0.0660931
-0.00624242	-0.1755502	0.06797805	-0.04740669	-0.05111336	0.003850864
0.001134575	-0.2009664	0.05186154	-0.1825021	-0.07576367	-0.0450248
-0.005711059	-0.2167498	0.03619275	-0.2746332	-0.113817	-0.05541898
-0.003497292	-0.2367696	0.02157842	-0.4254793	-0.2825848	-0.09176145
-0.00564396	-0.2708142	-0.002510863	-0.5596634	-0.4657262	-0.09616929
-0.01637876	-0.2930655	-0.009652417	-0.5987302	-0.5265071	-0.05688696
-0.02714733	-0.3283955	-0.004950155	-0.5229117	-0.5034158	0.06994393
-0.03552454	-0.3755481	0.01834963	-0.2860475	-0.3213655	0.1965689
-0.04139825	-0.4215399	0.03955054	-0.07912035	-0.1879387	0.2054563
-0.03401846	-0.4675595	0.0538161	0.06334817	-0.1398127	0.09054381
-0.01877198	-0.5209945	0.0633968	0.154101	-0.1248831	-0.06871721
