velx	vely	velz	angx	angy	angz
-0.03498803	0.04241915	-0.01533737	-0.938318	-0.1381989	0.1815757
-0.02167528	0.04431912	-0.01612898	-1.060409	-0.1263083	-0.0542686
-0.01010949	0.05074676	-0.03532924	-1.26068	-0.03444527	-0.2670503
-0.006850635	0.04741263	-0.03640098	-1.296006	0.005352019	-0.2625566
-0.006850635	0.04741263	-0.03640098	-1.296006	0.005352019	-0.2625566
-0.006850635	0.04741263	-0.03640098	-1.296006	0.005352019	-0.2625566
-0.006850635	0.04741263	-0.03640098	-1.296006	0.005352019	-0.2625566
-0.006850635	0.04741263	-0.03640098	-1.296006	0.005352019	-0.2625566
-0.04593457	0.1277956	-0.06291682	-1.871173	-0.2150353	-0.1096999
-0.04389203	0.1178077	-0.05633811	-1.672858	-0.1832761	-0.1103076
-0.04389203	0.1178077	-0.05633811	-1.672858	-0.1832761	-0.1103076
-0.04389203	0.1178077	-0.05633811	-1.672858	-0.1832761	-0.1103076
-0.04389203	0.1178077	-0.05633811	-1.672858	-0.1832761	-0.1103076
-0.04389203	0.1178077	-0.05633811	-1.672858	-0.1832761	-0.1103076
-0.04389203	0.1178077	-0.05633811	-1.672858	-0.1832761	-0.1103076
-0.04389203	0.1178077	-0.05633811	-1.672858	-0.1832761	-0.1103076
-0.04234008	0.108436	-0.04774844	-1.457485	-0.1690416	-0.1544048
-0.04260354	0.09463285	-0.03749061	-1.212954	-0.1369983	-0.16734
-0.04027588	0.0611915	-0.02355038	-0.611307	-0.07472008	-0.113382
-0.04565967	0.03289238	0.004528656	-0.1782868	0.02119875	0.02692713
-0.04109896	0.01565294	0.02242741	0.06916283	0.0827603	0.02619999
-0.02628774	-0.01244879	0.03321355	0.3538066	0.2168462	-0.01056432
-0.0189667	-0.02670818	0.03875575	0.4668279	0.3267126	0.02120299
-0.01814838	-0.02736521	0.03939952	0.4377659	0.261619	-0.01919501
-0.03814627	-0.002908305	0.02060131	0.1082531	0.01014229	-0.009359182
-0.04779532	0.01152417	0.00543669	-0.1057229	-0.1392947	-0.05244303
-0.05130213	0.03245097	-0.008953373	-0.3214241	-0.2797582	-0.1118925
-0.06497212	0.05685402	-0.01649529	-0.6063136	-0.4079338	-0.1197641
-0.06818845	0.07212772	-0.03208841	-0.8093907	-0.4295866	-0.1634821
-0.05969742	0.08788854	-0.05231782	-0.8828418	-0.4213313	-0.2694023
-0.06641518	0.09035993	-0.05720052	-0.7890507	-0.5799283	-0.2831741
-0.07164232	0.08927795	-0.05503452	-0.7526095	-0.6207279	-0.2239754
-0.08768068	0.08647812	-0.04708564	-0.7158922	-0.6392457	0.04430656
-0.08140893	0.09289038	-0.05160106	-0.8311748	-0.499813	0.05448413
-0.0717283	0.1020135	-0.05591754	-0.9118915	-0.3937153	-0.03954795
