velx	vely	velz	angx	angy	angz
-0.03433124	-0.01399361	-0.02430135	-0.1977738	-0.1216088	-0.0938924
-0.03433124	-0.01399361	-0.02430135	-0.1977738	-0.1216088	-0.0938924
-0.03433124	-0.01399361	-0.02430135	-0.1977738	-0.1216088	-0.0938924
-0.03433124	-0.01399361	-0.02430135	-0.1977738	-0.1216088	-0.0938924
-0.03433124	-0.01399361	-0.02430135	-0.1977738	-0.1216088	-0.0938924
-0.03433124	-0.01399361	-0.02430135	-0.1977738	-0.1216088	-0.0938924
-0.03433124	-0.01399361	-0.02430135	-0.1977738	-0.1216088	-0.0938924
-0.03433124	-0.01399361	-0.02430135	-0.1977738	-0.1216088	-0.0938924
-0.02620254	0.02038211	-0.02059455	-0.5631131	-0.05213255	-0.3696178
-0.02121211	0.03879851	-0.02312151	-0.6056563	-0.1048443	-0.4944358
-0.01686702	0.04865972	-0.02410865	-0.7789773	-0.09406734	-0.5486771
-0.006180889	0.0611565	-0.0199579	-0.8770833	-0.02353934	-0.5967997
0.004955692	0.05173595	-0.006736914	-0.7927071	0.0244757	-0.5342304
0.007839285	0.01736436	-0.006353037	-0.9058257	-0.01634201	-0.2406085
0.004836017	-0.03643765	0.002516898	-0.8279265	-0.03304356	0.1469743
0.005402887	-0.07890899	0.0308383	-0.2490048	0.03174326	0.3330289
0.00398056	-0.1208126	0.0592564	0.1108347	0.1513176	0.5126711
0.001057022	-0.1707262	0.07894189	0.1834682	0.2437265	0.6968999
-0.000508949	-0.201731	0.08598842	0.161293	0.2765988	0.8239188
-0.003414253	-0.2495733	0.09230514	0.2353887	0.2861724	1.021529
-0.007078001	-0.2791169	0.09611049	0.342986	0.2785904	1.132101
-0.01194056	-0.3152578	0.08687728	0.6617355	0.1738586	1.245464
-0.01946444	-0.3234619	0.06904616	0.870188	0.04932592	1.211332
-0.02616535	-0.3222295	0.05779137	0.9844127	-0.02160728	1.147696
-0.03901375	-0.3132962	0.04487057	0.9521269	-0.05551308	1.043056
-0.04892015	-0.3061425	0.04531008	0.8545706	0.005783661	0.9761261
-0.07513809	-0.2916285	0.05979316	0.5777261	0.2658179	0.8593718
-0.09545496	-0.2914979	0.06194563	0.4087859	0.3328207	0.8708522
-0.1373065	-0.3022201	0.05296593	0.395088	0.3136793	0.9755429
-0.209622	-0.3163947	0.03301722	0.9582617	0.2255656	1.115158
-0.2563041	-0.3190562	0.02625633	1.288689	0.2137661	1.129125
-0.3054928	-0.3203051	0.02125533	1.367565	0.2226833	1.166846
-0.3878856	-0.3208334	0.02510927	1.223729	0.3253508	1.236588
-0.483246	-0.3257475	0.04133039	1.077727	0.5024269	1.362601
-0.5562235	-0.3325176	0.04804685	1.091387	0.5867556	1.465023
-0.7255586	-0.3356456	0.03593488	1.144567	0.5068834	1.588276
-0.8238288	-0.3273997	0.02134797	1.208293	0.4040348	1.565372
-0.980751	-0.2955541	-0.00281429	1.245288	0.2092515	1.380659
-1.144516	-0.2469948	-0.01198348	1.163575	0.1184236	1.073313
-1.311695	-0.1744451	-0.002469692	0.9113431	0.1814436	0.603537
-1.434509	-0.1232139	-0.005954666	0.6138794	0.09959044	0.2520858
-1.613746	-0.03982173	-0.03425991	0.1092517	-0.1609456	-0.2705978
-1.801198	0.02972826	-0.07218695	-0.3476519	-0.5157409	-0.6916129
-2.058474	0.1033513	-0.1379104	-0.5456418	-1.055549	-1.06828
-2.178864	0.1436832	-0.1741594	-0.3690622	-1.271351	-1.256385
-2.304598	0.180062	-0.2038202	-0.198561	-1.477191	-1.458696
-2.485628	0.2407027	-0.2390744	-0.04014567	-1.698494	-1.796798
-2.648272	0.3056625	-0.2542576	0.004336047	-1.624287	-2.095282
-2.793571	0.3509782	-0.2173216	-0.09316563	-1.154618	-2.288965
-2.926313	0.3916995	-0.1935413	-0.6385403	-0.8038931	-2.424288
-3.007994	0.4129207	-0.1880717	-1.017041	-0.6290219	-2.438828
-3.121795	0.4464365	-0.1891859	-1.154708	-0.4244302	-2.419914
-3.19185	0.4647635	-0.1941164	-1.094532	-0.315619	-2.309489
-3.280755	0.4734511	-0.2052649	-0.8415092	-0.2142711	-2.013452
-3.365531	0.4955526	-0.2388031	-0.3556015	-0.1774925	-1.569858
-3.390712	0.5128192	-0.2626273	-0.2317812	-0.2231254	-1.424956
-3.40728	0.546631	-0.3070905	-0.436906	-0.3171048	-1.393182
-3.402298	0.5923814	-0.3273143	-1.652995	-0.2456019	-1.651838
-3.376744	0.5981184	-0.3129551	-2.299469	-0.04686775	-1.726891
-3.329409	0.5715112	-0.2514587	-2.56167	0.1760355	-1.692783
-3.221972	0.4853639	-0.1907823	-2.501177	-0.1046129	-1.72324
-3.099278	0.3890164	-0.1545947	-2.520616	-0.5362933	-1.842013
-2.819084	0.1715098	-0.08721608	-3.810609	-0.8704524	-1.653438
-2.446143	-0.1704994	0.1338933	-4.367389	-0.0213098	0.1102232
-2.180543	-0.4197	0.3650966	-3.544256	1.184605	2.083654
-1.612688	-0.8453988	0.9593382	-0.2119999	5.325489	7.015478
-1.299892	-0.7790135	1.118859	2.982652	6.855497	7.843033
-0.8496965	-0.3215105	0.9866324	6.231098	6.658452	5.343951
-0.694834	0.3780026	0.4255225	4.546565	3.310046	0.566979
-0.654156	1.033977	-0.1955674	0.1828736	-0.5190858	-3.577078
-0.6824489	1.310769	-0.5635185	-2.144408	-2.223536	-5.059032
-0.4788252	1.477455	-0.9088689	-2.966358	-3.775263	-5.399726
-0.3756016	1.350976	-0.961307	-2.296813	-4.101861	-4.789907
-0.3864926	-0.2483524	0.3549178	3.788319	1.284075	2.53487
