velx	vely	velz	angx	angy	angz
0.0264887	-0.04422447	-0.02509165	-0.1866974	0.4763038	-0.2391894
0.0264887	-0.04422447	-0.02509165	-0.1866974	0.4763038	-0.2391894
0.0264887	-0.04422447	-0.02509165	-0.1866974	0.4763038	-0.2391894
0.0264887	-0.04422447	-0.02509165	-0.1866974	0.4763038	-0.2391894
0.0264887	-0.04422447	-0.02509165	-0.1866974	0.4763038	-0.2391894
0.0264887	-0.04422447	-0.02509165	-0.1866974	0.4763038	-0.2391894
0.0264887	-0.04422447	-0.02509165	-0.1866974	0.4763038	-0.2391894
0.03531775	-0.02247402	-0.03058358	-0.2740334	0.6440694	-0.2824857
0.03506997	-0.01712093	-0.04053051	-0.3359995	0.3690827	-0.2018618
0.03464365	-0.005261029	-0.04233305	-0.3092986	0.2010355	-0.1731373
0.04472964	0.00747491	-0.04280453	-0.2108971	0.04916822	-0.2262324
0.05231166	0.01185429	-0.03702518	-0.1530161	0.0467197	-0.2833579
0.08062182	0.02414388	-0.03386093	-0.1032707	-0.102484	-0.476794
0.09785075	0.03451036	-0.02680286	-0.02852674	-0.1441964	-0.5785969
0.1017687	0.05380867	-0.005530423	0.1603421	-0.08477825	-0.6199126
0.08797754	0.09403913	0.02755329	0.4047159	-0.3902924	-0.4758381
0.07559593	0.1167838	0.04052137	0.4731491	-0.4846117	-0.3939916
0.0493067	0.1474969	0.04582215	0.4409142	-0.6548548	-0.2898883
0.03122013	0.1958752	0.03946595	0.2933971	-0.7364612	-0.2008511
0.02387623	0.2336711	0.03535904	0.1901048	-0.5753842	-0.181289
0.0001771274	0.3002067	0.0356772	0.06103838	-0.02307012	-0.1290961
-0.01277154	0.3833423	0.03862117	-0.01301954	0.3206509	-0.1152307
-0.01997597	0.4706151	0.05231581	-0.02934555	0.1336359	-0.09043569
-0.03610842	0.5342166	0.0672145	0.004214924	-0.04832625	-0.01923748
-0.06991811	0.6286036	0.0977185	0.1246801	-0.194825	0.1501352
-0.07253287	0.7171083	0.1263743	0.2756851	-0.4322324	0.1089994
-0.06797659	0.808168	0.162291	0.4184649	-0.478336	-0.07673135
-0.06618548	0.904215	0.1867515	0.5223204	-0.3032537	-0.1998973
-0.05926982	0.9573063	0.1926979	0.5560601	-0.1505887	-0.2369425
-0.07549255	1.047272	0.2015824	0.5197874	-0.2122634	-0.2019037
-0.09651161	1.162914	0.1705447	0.3123858	-0.381749	-0.05873768
-0.1130996	1.222796	0.1495053	0.1779904	-0.3051526	0.04447254
-0.1330172	1.277777	0.1270776	0.04232686	-0.2383778	0.122841
-0.1371899	1.366998	0.07261679	-0.1876636	-0.1466011	0.09759356
-0.1229373	1.438981	0.02293066	-0.3665363	-0.01404562	0.05850997
-0.1141709	1.519988	-0.0114168	-0.4975957	0.01834482	0.01535914
-0.1171929	1.587232	-0.05145527	-0.6163816	-0.1562442	-0.006615912
-0.1126976	1.625573	-0.07593633	-0.6994214	-0.2365406	0.02849681
-0.1254555	1.690813	-0.08864889	-0.8064837	-0.2522646	0.1216936
-0.148173	1.778491	-0.1167063	-0.8929434	-0.3263796	0.1850444
-0.1447731	1.813136	-0.1157588	-0.8918555	-0.2827809	0.2225219
-0.1535107	1.857791	-0.1088719	-0.8904365	-0.2141407	0.1523586
-0.1538745	1.893211	-0.1133759	-0.8687539	-0.109431	0.09403244
-0.1371401	1.946691	-0.09227333	-0.8260976	-0.280177	0.05470568
-0.1583101	2.037409	-0.03664095	-0.6003922	-0.6390426	0.05992275
-0.1697595	2.095502	-0.02569513	-0.4533287	-0.6945881	0.07360879
-0.1647537	2.152442	0.0001384062	-0.3228503	-0.7815326	-0.02471562
-0.1355874	2.216179	0.03673895	-0.2502367	-0.8039435	-0.2673754
-0.1182456	2.285886	0.0255697	-0.3447764	-0.5651955	-0.418355
-0.09846706	2.351302	0.02738629	-0.4491721	-0.4426959	-0.4732917
-0.1119137	2.392474	0.02894202	-0.5501469	-0.2014998	-0.4138118
-0.1182171	2.42359	-0.0002959279	-0.6225811	-0.1435452	-0.3300065
-0.1263793	2.446497	-0.01220614	-0.7611196	-0.05334608	-0.1942625
-0.1102253	2.431441	-0.01713923	-0.9391066	0.1665987	-0.1959937
-0.08335204	2.407079	-0.04176976	-1.035166	0.6839573	-0.3493972
-0.03681793	2.365725	-0.01348922	-0.8995398	0.9931151	-0.5148732
-0.01180218	2.292715	0.03086917	-0.5770453	0.8122204	-0.5786647
-0.003115894	2.243001	0.05453828	-0.2990792	0.6213747	-0.4976404
0.02721204	2.152495	0.0950188	0.06523461	0.09805209	-0.400766
0.04191212	2.026259	0.1101394	0.2762592	-0.5437333	-0.3253002
0.03765076	1.896383	0.09783124	0.2736625	-0.9432976	-0.1236017
