velx	vely	velz	angx	angy	angz
0.02366394	0.002669464	0.01863947	0.2022304	0.1232812	-0.1283777
0.03761059	0.008999689	0.0274605	0.4176174	0.06162186	-0.3608485
0.03050366	0.01370582	0.03387748	0.5554235	0.06436938	-0.2655435
0.02002713	0.01843795	0.03998705	0.6573168	0.05052905	-0.08257242
0.002174064	0.02046072	0.04841416	0.7681689	0.02788055	0.123484
-0.02504766	0.0169895	0.06552458	0.9523156	0.009716592	0.3043011
-0.04313135	0.02498289	0.07314795	1.094018	0.09623549	0.4965297
-0.04313135	0.02498289	0.07314795	1.094018	0.09623549	0.4965297
-0.04313135	0.02498289	0.07314795	1.094018	0.09623549	0.4965297
-0.04313135	0.02498289	0.07314795	1.094018	0.09623549	0.4965297
-0.04313135	0.02498289	0.07314795	1.094018	0.09623549	0.4965297
-0.04313135	0.02498289	0.07314795	1.094018	0.09623549	0.4965297
-0.04313135	0.02498289	0.07314795	1.094018	0.09623549	0.4965297
-0.04852282	0.0261246	0.08021137	1.157404	0.1324866	0.5274255
-0.05087431	0.03132754	0.09108819	1.313048	0.1988035	0.5017179
-0.05027795	0.04114588	0.1171803	1.642094	0.2981978	0.2862105
-0.04621784	0.04249931	0.1307854	1.817303	0.3053902	0.1631589
-0.04450743	0.04383413	0.1521398	2.05071	0.2838201	0.1382402
-0.05499696	0.03819965	0.1672806	2.22374	0.246646	0.283565
-0.05837348	0.03443221	0.1731054	2.304296	0.1928268	0.3019159
-0.05701468	0.03413946	0.1813571	2.345053	0.1461143	0.1803501
-0.04868446	0.03552051	0.1867895	2.33953	0.1544004	-0.061054
-0.03861343	0.03799071	0.1913578	2.335459	0.2005877	-0.2830573
-0.03100833	0.03916402	0.1950702	2.353991	0.2776845	-0.2792727
-0.02430993	0.04079013	0.1939386	2.344602	0.2942118	-0.271474
-0.0215834	0.04535833	0.1939044	2.3073	0.291185	-0.2927676
-0.01241736	0.04863377	0.1899928	2.229067	0.285482	-0.3714836
-0.003565962	0.05638972	0.1842027	2.136495	0.2402912	-0.4294683
-0.002884105	0.06249784	0.1795154	2.076907	0.1957758	-0.4455082
0.004454361	0.06285385	0.1765571	2.000132	0.137408	-0.5032018
0.006143922	0.05946064	0.1706483	1.97666	0.1053228	-0.4669165
0.007789821	0.06835997	0.1599731	1.802344	0.03087462	-0.5130542
0.01262518	0.07224227	0.1384659	1.661228	-0.01201031	-0.5637044
0.02063607	0.08130763	0.1196897	1.505493	-0.04427585	-0.617101
0.0156133	0.09113909	0.1064612	1.384052	-0.0836193	-0.6508918
0.01411728	0.09399401	0.09134994	1.25862	-0.08016255	-0.601302
0.01718775	0.09829343	0.08159045	1.152758	-0.06040386	-0.571367
0.01621222	0.09753977	0.07584315	1.056012	-0.06309533	-0.5536472
0.009392424	0.09833608	0.06849904	1.023191	-0.1316061	-0.3816659
0.008678952	0.09753576	0.06493375	1.013944	-0.1720487	-0.3370184
0.01221473	0.09858656	0.05822392	1.001965	-0.18967	-0.3553226
0.006688813	0.1007658	0.04478018	1.024539	-0.2458609	-0.3253638
0.001159177	0.09982239	0.03473466	1.004627	-0.2827155	-0.2963449
-0.005389869	0.1008942	0.02477394	0.9619032	-0.3071019	-0.2861668
-0.01452685	0.1052228	0.008568816	0.8680772	-0.3347687	-0.2935022
-0.01957779	0.1059816	0.002305551	0.7976617	-0.3845656	-0.2685989
-0.02333992	0.1053056	-0.008043567	0.6839119	-0.409581	-0.2473982
-0.02275919	0.1012735	-0.0213726	0.5188862	-0.393895	-0.2194605
-0.01657536	0.09920751	-0.03060967	0.3728494	-0.3649063	-0.2168512
-0.004331063	0.09919138	-0.04633491	0.1278883	-0.3263169	-0.2434806
0.008992032	0.09686689	-0.06198354	-0.1330386	-0.2904103	-0.2703119
0.02061425	0.09113976	-0.08033895	-0.4646437	-0.2680916	-0.2257411
0.01925903	0.08828335	-0.09569515	-0.8907624	-0.2960058	-0.0714424
0.02036295	0.08031271	-0.1035012	-1.138161	-0.3095856	-0.03040105
0.02856332	0.07029714	-0.1093302	-1.4587	-0.2802402	0.0004023878
0.02534981	0.05128749	-0.109778	-1.632918	-0.2179094	0.09329289
0.0213825	0.03048254	-0.1133885	-1.76944	-0.1214586	0.273637
0.01154039	0.009828039	-0.1136946	-1.835982	-0.07004542	0.4680976
0.0093862	-0.005828178	-0.1118329	-1.84029	-0.03168054	0.5460315
0.006596717	-0.02775477	-0.1066644	-1.822513	0.02649626	0.5698314
0.003883607	-0.05911789	-0.1111913	-1.861394	0.06055699	0.6010246
0.005274424	-0.08865605	-0.12421	-2.092078	0.05183689	0.7117085
0.01055688	-0.1070761	-0.1334902	-2.282155	0.04711653	0.6827787
0.02755499	-0.1259024	-0.1481184	-2.550076	0.08280136	0.5722463
0.03936399	-0.1452638	-0.1599765	-2.746581	0.1616164	0.5435362
0.04956198	-0.1688895	-0.1817098	-3.003594	0.2617927	0.5334631
0.05164639	-0.1894088	-0.2073011	-3.314737	0.3650742	0.515396
