velx	vely	velz	angx	angy	angz
-0.0003993697	-0.02893922	0.003585326	0.3197065	-0.2494942	0.2637238
-0.01647608	0.003250455	-0.006105313	0.06816461	-0.1976138	0.2523948
0.007933835	-0.05403388	0.0100478	0.5828448	0.190892	0.3547739
-0.005012673	0.02568501	-0.008267391	-0.01670191	0.05675101	0.2066192
-0.005012673	0.02568501	-0.008267391	-0.01670191	0.05675101	0.2066192
-0.005012673	0.02568501	-0.008267391	-0.01670191	0.05675101	0.2066192
-0.005012673	0.02568501	-0.008267391	-0.01670191	0.05675101	0.2066192
-0.005012673	0.02568501	-0.008267391	-0.01670191	0.05675101	0.2066192
-0.005012673	0.02568501	-0.008267391	-0.01670191	0.05675101	0.2066192
-0.005012673	0.02568501	-0.008267391	-0.01670191	0.05675101	0.2066192
-0.004774758	0.02623181	-0.01115978	-0.05676731	0.09321328	0.1274224
0.001930831	0.02473079	-0.01447564	-0.0792622	0.1811866	-0.1496074
0.005343456	0.01693945	-0.01710295	-0.0731414	0.2705603	-0.2309111
0.007406916	0.01440449	-0.01574234	-0.08067017	0.2847703	-0.1633199
0.01393731	0.008394328	-0.01725906	-0.08621819	0.225846	-0.1165368
0.01334748	0.005263668	-0.0137119	-0.09115154	0.1058906	-0.1431741
0.01151307	0.0044694	-0.009904257	-0.07530631	-0.001999355	-0.1467546
0.009796033	0.003849547	-0.006266309	-0.06326507	-0.04072316	-0.1462582
0.006204453	0.001094917	-0.002277743	-0.07080512	-0.06865041	-0.1381765
0.003586469	-0.003475916	0.001960336	-0.1273883	-0.05816691	-0.1926259
0.006445329	-0.003086868	0.001920973	-0.2125926	-0.02040171	-0.2216316
0.005684338	-0.002446472	0.0003333176	-0.2525268	0.002735555	-0.2057517
0.006815343	-0.001324938	-0.001176128	-0.2470153	0.01195623	-0.241694
0.008504437	-0.002611376	-0.0009373645	-0.1267959	-0.007044013	-0.2903321
0.007224503	-0.007592495	0.0004946712	0.03321206	-0.02764116	-0.2477928
0.004266376	-0.01347972	0.002975201	0.113303	-0.02752312	-0.1616587
0.005923998	-0.01781383	0.004523497	0.1504745	-0.03155707	-0.05815732
0.005124171	-0.02232385	0.008155158	0.09903392	-0.05362234	0.0416545
0.003400155	-0.02499253	0.01035437	-0.05830356	-0.09218446	0.009407558
0.002303421	-0.02406629	0.00901645	-0.2266078	-0.08628067	-0.005244461
0.001413326	-0.02340305	0.004248523	-0.3670087	-0.06605858	-0.009799268
0.004697745	-0.01462232	-0.0007704382	-0.4772775	-0.0625767	-0.03565241
0.005176982	-0.01180735	-0.001284097	-0.5062801	-0.06641447	-0.05494133
0.004344788	-0.005918335	-0.0006723399	-0.5296318	-0.05676821	-0.06036227
