velx	vely	velz	angx	angy	angz
0.0145595	0.0282639	4.762842E-05	-0.2956457	0.06445002	-0.6961324
0.009946949	0.03657272	-0.0033423	-0.3045669	0.05269298	-0.5171759
0.009501438	0.03948891	-0.002847367	-0.3059232	0.04489934	-0.4307761
-0.001613607	0.04768859	-0.007009861	-0.2648363	0.01153126	0.03294127
-0.01792007	0.03959396	-0.01073284	-0.1363595	-0.1031941	0.1966382
-0.04023727	0.05664192	-0.01442792	-0.1826596	-0.285597	0.2791762
-0.04866026	0.0243108	-0.01011735	0.06427787	-0.3422152	0.2725009
-0.04866026	0.0243108	-0.01011735	0.06427787	-0.3422152	0.2725009
-0.04866026	0.0243108	-0.01011735	0.06427787	-0.3422152	0.2725009
-0.04866026	0.0243108	-0.01011735	0.06427787	-0.3422152	0.2725009
-0.04866026	0.0243108	-0.01011735	0.06427787	-0.3422152	0.2725009
-0.04866026	0.0243108	-0.01011735	0.06427787	-0.3422152	0.2725009
-0.04866026	0.0243108	-0.01011735	0.06427787	-0.3422152	0.2725009
-0.05249409	0.02142823	-0.01079481	0.09055549	-0.3706135	0.2607387
-0.06031137	0.01055254	-0.01138895	0.1579771	-0.4247882	0.2608951
-0.06396734	0.005558465	-0.009141659	0.213884	-0.449923	0.2779324
-0.06625248	-0.004510395	-0.007034628	0.2898038	-0.4649144	0.2502326
-0.06599246	-0.005107012	-0.00439145	0.3191532	-0.4552643	0.254848
-0.06522632	-0.007303035	-3.413359E-05	0.3733838	-0.4383376	0.2999178
-0.05955647	-0.007157634	0.002009256	0.3777767	-0.395653	0.314617
-0.04248694	-0.006055806	0.003603702	0.3285432	-0.283904	0.3976499
-0.03171325	-0.005903111	0.006818077	0.3215786	-0.2039933	0.5021505
-0.02566542	-0.007544855	0.008025097	0.3537764	-0.1546657	0.5209898
-0.01439895	-0.01204267	0.009892584	0.3755201	-0.06585134	0.3917586
-0.002982066	-0.01544649	0.01234109	0.3408136	0.005935936	0.193336
0.008162291	-0.01761358	0.01578992	0.3118366	0.06532266	0.02957473
0.01451014	-0.02041411	0.02023771	0.3075863	0.1097531	-0.02353459
0.02856525	-0.02616759	0.03057188	0.3203013	0.2065046	-0.07117757
0.04063154	-0.03541872	0.0379101	0.3869338	0.3409413	-0.1149685
0.05620448	-0.05879433	0.0387203	0.5068138	0.4777578	-0.2954922
0.06172963	-0.0715156	0.03803012	0.5985175	0.5269424	-0.4555382
0.0591723	-0.1174578	0.03481098	0.8195465	0.4964935	-0.5530875
0.05642502	-0.138759	0.03105849	0.97458	0.4969292	-0.5103561
0.05142689	-0.1931193	0.02882062	1.291298	0.4956482	-0.415669
0.05413359	-0.2217588	0.029211	1.438164	0.5210974	-0.4429894
0.05883966	-0.2536669	0.02979311	1.575839	0.5657896	-0.5191753
0.06578746	-0.3052755	0.02943669	1.807901	0.6130367	-0.6181735
0.06508598	-0.3673483	0.02312141	2.111125	0.6489269	-0.5879717
0.06512133	-0.4278208	0.009876083	2.500785	0.6680657	-0.3910062
0.06153556	-0.4823155	-0.005927727	2.840739	0.6101029	-0.1348372
0.05249934	-0.5262733	-0.02585858	3.051993	0.5176317	-0.02152579
0.04885847	-0.5467108	-0.04085332	3.133829	0.5009012	-0.09854124
0.0553629	-0.5803827	-0.0667719	3.181757	0.6149626	-0.5520543
0.05736233	-0.6092099	-0.09140164	3.214461	0.692901	-0.8862971
0.04652128	-0.6351473	-0.1170394	3.279676	0.6396866	-0.9801877
0.04169399	-0.651515	-0.1367467	3.298753	0.6710305	-1.150023
